Time Stamp,X_AXIS,Z2LH_B2_2_Ld,Z2RH_B2_2_Rd,Z4_B4,Z6_2_600_B6_2_600d,Z6_2_700_B6_2_700d,Z6_2_B6_2_1d,Z8_1_B8_2,Z3_B3_2,Z5_2_B5_2_2d,Z6_3_100_B6_3_2,Z6_3_200_B6_3_2,Z6_3_300_B6_3_2,Z8_2_B8_3,Z10LH_B10_1,Z10RH_B10_1,Z22_1_1_B22_1,Z22_1_2_B22_2,Z12LH_B12_3,Z12RH_B12_3,Z22_2_1_B22_1,Z22_2_2_B22_2,Z23_CV100_B510_620
10:06:00:00.0000,0,16,16,6,7,7,11,2,2,2,2,2,2,0,20,20,0,0,25,25,0,0,2
10:07:00:00.0000,1,20,20,5,7,7,14,1,2,0,2,2,2,0,16,18,0,1,24,24,2,1,0
10:08:00:00.0000,2,20,20,6,8,8,15,7,2,1,2,2,2,0,20,20,0,0,25,24,3,0,0
10:09:00:00.0000,3,20,20,6,8,8,15,3,2,1,2,2,2,1,18,20,1,0,25,23,2,0,1
10:10:00:00.0000,4,16,16,5,8,6,12,7,2,1,2,2,2,0,20,20,5,0,25,25,1,0,0
10:11:00:00.0000,5,20,20,6,8,8,15,0,2,0,2,2,2,0,20,20,1,2,25,18,2,0,0
10:12:00:00.0000,6,20,20,6,8,8,15,0,2,1,2,2,2,1,20,20,1,1,24,25,0,1,0
10:13:00:00.0000,7,19,19,6,8,7,14,1,2,0,2,2,2,0,20,20,0,4,18,25,3,0,1
10:14:00:00.0000,8,18,20,6,8,8,15,0,2,5,2,2,2,2,20,20,0,0,25,25,0,3,0
10:14:15:00.0000,9,17,15,5,7,7,11,2,0,1,2,0,2,1,20,20,1,1,25,25,1,1,0
